file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,ocr_text_hash,error
uchen high quality pdf,uchen high quality pdf - page 1,Modern,line,0.7,2.5,5.0,True,0.5,True,10,5.489826917648315,66.67,9,6,3,7bcb48dcfdfe6c9c,
uchen high quality pdf,uchen high quality pdf - page 1,Modern,line,0.7,3.0,2.5,True,0.5,True,10,5.695244312286377,63.16,19,12,7,de78d07f5f1193b4,
uchen high quality pdf,uchen high quality pdf - page 1,Modern,line,0.7,3.0,3.5,True,0.5,True,10,5.577871799468994,55.0,20,11,9,8f13ea85cf02684d,
uchen high quality pdf,uchen high quality pdf - page 1,Modern,line,0.7,3.0,4.0,True,0.5,True,10,5.486024856567383,54.55,11,6,5,e74a6f9f129f7274,
uchen high quality pdf,uchen high quality pdf - page 1,Modern,line,0.7,3.0,5.0,True,0.5,True,10,5.301178216934204,66.67,9,6,3,7bcb48dcfdfe6c9c,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.0,2.5,True,0.5,True,7,5.946548700332642,76.68,313,240,73,b2d855fe55c3ba36,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.0,3.5,True,0.5,True,7,5.43310546875,75.8,314,238,76,13417c07993a2654,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.0,4.0,True,0.5,True,7,6.824865818023682,74.61,323,241,82,a8ec9b9489b33eef,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.0,5.0,True,0.5,True,7,25.945571422576904,47.32,317,150,167,b4848a2814abfed7,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.5,2.5,True,0.5,True,7,4.950311660766602,76.68,313,240,73,17dce0d989428cdc,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.5,3.5,True,0.5,True,7,5.222460508346558,75.8,314,238,76,13417c07993a2654,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.5,4.0,True,0.5,True,7,6.624758005142212,76.09,322,245,77,7bd461d87abb4874,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,2.5,5.0,True,0.5,True,7,19.478511571884155,56.07,321,180,141,1bef16f8af96edc0,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,3.0,2.5,True,0.5,True,7,6.866309642791748,76.43,314,240,74,2c4ae1a9c0cb1ee7,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,3.0,3.5,True,0.5,True,7,6.447482347488403,75.56,315,238,77,44602bef3d752ce4,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,3.0,4.0,True,0.5,True,7,7.093555927276611,76.09,322,245,77,7bd461d87abb4874,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock,line,0.7,3.0,5.0,True,0.5,True,7,19.65114736557007,56.07,321,180,141,1bef16f8af96edc0,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.0,2.5,True,0.5,True,7,7.2134387493133545,76.43,314,240,74,bc3dba408c61da58,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.0,3.5,True,0.5,True,7,6.486659526824951,76.53,311,238,73,471f92e4637dbc6b,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.0,4.0,True,0.5,True,7,7.138046026229858,75.08,313,235,78,56c8d97581de5d63,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.0,5.0,True,0.5,True,7,12.56516432762146,60.89,202,123,79,2955827309a7413a,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.5,2.5,True,0.5,True,7,6.434734582901001,76.11,314,239,75,3d2080e0a89c760f,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.5,3.5,True,0.5,True,7,6.490682601928711,76.53,311,238,73,471f92e4637dbc6b,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.5,4.0,True,0.5,True,7,7.1226091384887695,77.07,314,242,72,161aaed8a7a97a99,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,2.5,5.0,True,0.5,True,7,12.192883253097534,76.09,184,140,44,533b960a349837c7,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,3.0,2.5,True,0.5,True,7,7.007791757583618,77.32,313,242,71,59e8054dd28e5dd4,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,3.0,3.5,True,0.5,True,7,7.568484544754028,77.42,310,240,70,7824f58d5f8b6fbb,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,3.0,4.0,True,0.5,True,7,7.2022223472595215,77.07,314,242,72,161aaed8a7a97a99,
uchen high quality pdf,uchen high quality pdf - page 10,Woodblock-Stacks,line,0.7,3.0,5.0,True,0.5,True,7,12.714496374130249,76.09,184,140,44,533b960a349837c7,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.0,2.5,True,0.5,True,7,8.230367660522461,65.25,305,199,106,1c0f6307be330533,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.0,3.5,True,0.5,True,7,10.322712421417236,39.5,200,79,121,e91b15fc101231d2,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.0,4.0,True,0.5,True,7,11.750975847244263,44.12,170,75,95,74d8259daf06ba92,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.0,5.0,True,0.5,True,7,14.673827171325684,46.94,98,46,52,0d153470f72c8070,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.5,2.5,True,0.5,True,7,6.413305044174194,65.29,291,190,101,ccf87451456a6bc1,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.5,3.5,True,0.5,True,7,10.353513956069946,39.5,200,79,121,e91b15fc101231d2,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.5,4.0,True,0.5,True,7,12.026201725006104,43.2,169,73,96,9f36880c88e834aa,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,2.5,5.0,True,0.5,True,7,14.910314559936523,42.34,111,47,64,bb901ed8b017de7b,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,3.0,2.5,True,0.5,True,7,9.911317825317383,67.86,280,190,90,e686120d89d1ebcb,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,3.0,3.5,True,0.5,True,7,10.440082311630249,39.18,194,76,118,91d096c5bab09557,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,3.0,4.0,True,0.5,True,7,12.14081621170044,43.2,169,73,96,9f36880c88e834aa,
uchen high quality pdf,uchen high quality pdf - page 10,Modern,line,0.7,3.0,5.0,True,0.5,True,7,13.535838603973389,42.34,111,47,64,bb901ed8b017de7b,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.0,2.5,True,0.5,True,14,7.34981369972229,30.43,46,14,32,c48ec18788f72972,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.0,3.5,True,0.5,True,14,7.195545196533203,17.86,28,5,23,3cfc8f2fa8649627,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.0,4.0,True,0.5,True,14,8.12215256690979,45.95,37,17,20,ed5a5669e1c5c9fe,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.0,5.0,True,0.5,True,14,10.258904695510864,31.25,48,15,33,8775957653e57c60,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.5,2.5,True,0.5,True,14,8.326422214508057,33.33,45,15,30,46959231b6ba925c,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.5,3.5,True,0.5,True,14,10.045799970626831,17.86,28,5,23,3cfc8f2fa8649627,
